episodio,goal_id,resultado,pasos,reward,heading_rad
277,goal_03,exito,499,105.39,3.0584
278,goal_03,exito,499,105.37,3.0618
279,goal_03,exito,499,105.39,3.0608
280,goal_03,exito,499,105.38,3.0601
281,goal_03,exito,499,105.37,3.0605
282,goal_03,exito,499,105.39,3.0592
283,goal_03,exito,499,105.4,3.0561
284,goal_03,exito,499,105.39,3.058
285,goal_03,exito,499,105.39,3.0601
286,goal_03,exito,499,105.38,3.0609
287,goal_03,exito,499,105.38,3.0604
288,goal_03,exito,499,105.38,3.0618
289,goal_03,exito,499,105.38,3.0601
290,goal_03,exito,499,105.4,3.0556
291,goal_03,exito,499,105.39,3.058
292,goal_03,exito,499,105.38,3.0604
293,goal_03,exito,499,105.39,3.0596
294,goal_03,exito,499,105.38,3.0605
295,goal_03,exito,499,105.37,3.0629
296,goal_03,exito,499,105.39,3.0609
297,goal_03,exito,499,105.39,3.0563
298,goal_03,exito,498,105.27,2.9262
299,goal_03,exito,499,105.41,3.0576
300,goal_03,exito,499,105.39,3.0582
301,goal_04,exito,620,123.31,3.0821
302,goal_04,exito,620,123.34,3.0819
303,goal_04,exito,620,123.32,3.0821
304,goal_04,exito,620,123.34,3.082
305,goal_04,exito,620,123.31,3.0822
306,goal_04,exito,620,123.32,3.082
307,goal_04,exito,619,123.36,3.0685
308,goal_04,exito,620,123.34,3.0817
309,goal_04,exito,619,123.38,3.0678
310,goal_04,exito,620,123.35,3.0816
311,goal_04,exito,620,123.33,3.0818
312,goal_04,exito,620,123.34,3.0819
313,goal_04,exito,620,123.32,3.082
314,goal_04,exito,620,123.32,3.0819
315,goal_04,exito,620,123.32,3.0819
316,goal_04,exito,620,123.33,3.0818
317,goal_04,exito,620,123.34,3.0819
318,goal_04,exito,620,123.33,3.082
319,goal_04,exito,620,123.34,3.0821
320,goal_04,exito,620,123.31,3.0821
321,goal_04,exito,620,123.32,3.0821
322,goal_04,exito,619,123.36,3.0697
323,goal_04,exito,620,123.35,3.0817
324,goal_04,exito,620,123.33,3.0818
325,goal_04,exito,620,123.35,3.0817
326,goal_04,exito,620,123.32,3.0821
327,goal_04,exito,620,123.33,3.0821
328,goal_04,exito,620,123.31,3.0821
329,goal_04,exito,620,123.33,3.0819
330,goal_04,exito,620,123.32,3.0819
331,goal_04,exito,620,123.34,3.0818
332,goal_04,exito,620,123.33,3.082
333,goal_04,exito,620,123.33,3.0821
334,goal_04,exito,620,123.31,3.0822
335,goal_04,exito,620,123.31,3.0821
336,goal_04,exito,620,123.32,3.082
337,goal_04,exito,620,123.32,3.0819
338,goal_04,exito,620,123.34,3.0818
339,goal_04,exito,620,123.32,3.082
340,goal_04,exito,620,123.33,3.0821
341,goal_04,exito,620,123.3,3.0822
342,goal_04,exito,620,123.32,3.0821
343,goal_04,exito,620,123.31,3.0821
344,goal_04,exito,620,123.34,3.0818
345,goal_04,exito,620,123.32,3.082
346,goal_04,exito,620,123.34,3.0819
