episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
729,goal_08,exit,exito,968,230.23,True
730,goal_08,exit,exito,968,230.23,True
731,goal_08,exit,exito,966,229.99,True
732,goal_08,exit,exito,979,231.83,True
733,goal_08,exit,exito,968,230.21,True
734,goal_08,exit,exito,971,228.11,True
735,goal_08,exit,exito,972,231.03,True
736,goal_08,exit,exito,973,230.99,True
737,goal_08,exit,exito,966,230.1,True
738,goal_08,exit,exito,971,228.12,True
739,goal_08,exit,exito,968,230.34,True
740,goal_08,exit,exito,969,230.65,True
741,goal_08,exit,exito,971,231.24,True
742,goal_08,exit,exito,968,228.96,True
743,goal_08,exit,exito,966,230.15,True
744,goal_08,exit,exito,973,228.14,True
745,goal_08,exit,exito,973,231.02,True
746,goal_08,exit,exito,968,228.79,True
747,goal_08,exit,exito,968,229.13,True
748,goal_08,exit,exito,969,230.63,True
749,goal_08,exit,exito,969,230.63,True
750,goal_08,exit,exito,969,228.04,True
751,goal_08,exit,exito,968,230.36,True
752,goal_08,exit,exito,966,230.1,True
753,goal_08,exit,exito,972,231.09,True
754,goal_08,exit,exito,971,231.28,True
755,goal_08,exit,exito,979,232.24,True
756,goal_08,exit,exito,968,230.25,True
757,goal_08,exit,exito,966,230.27,True
758,goal_08,exit,exito,968,230.21,True
759,goal_08,exit,exito,968,228.97,True
760,goal_08,exit,exito,972,230.71,True
761,goal_08,exit,exito,968,228.89,True
762,goal_08,exit,exito,973,230.98,True
763,goal_08,exit,exito,968,230.4,True
764,goal_08,exit,exito,980,232.19,True
765,goal_08,exit,exito,966,230.16,True
766,goal_08,exit,exito,968,230.23,True
767,goal_08,exit,exito,975,227.69,True
768,goal_08,exit,exito,978,230.98,True
769,goal_08,exit,exito,967,230.62,True
770,goal_08,exit,exito,971,228.4,True
771,goal_08,exit,exito,966,230.11,True
772,goal_08,exit,exito,973,230.95,True
773,goal_08,exit,exito,968,230.42,True
774,goal_08,exit,exito,974,227.96,True
775,goal_08,exit,exito,971,228.39,True
776,goal_08,exit,exito,966,230.04,True
777,goal_08,exit,exito,982,232.12,True
778,goal_08,exit,exito,978,230.96,True
779,goal_08,exit,exito,978,230.99,True
780,goal_08,exit,exito,973,230.95,True
781,goal_08,exit,exito,972,231.03,True
782,goal_08,exit,exito,970,230.7,True
783,goal_08,exit,exito,968,229.42,True
784,goal_08,exit,exito,972,228.12,True
785,goal_08,exit,exito,969,230.65,True
786,goal_08,exit,colision,1,-150.0,True
787,goal_08,exit,exito,968,230.38,True
788,goal_08,exit,exito,978,232.83,True
789,goal_08,exit,exito,971,231.24,True
790,goal_08,exit,exito,966,230.1,True
791,goal_08,exit,exito,973,230.44,True
792,goal_08,exit,exito,970,229.34,True
793,goal_08,exit,exito,971,228.14,True
794,goal_08,exit,exito,968,230.33,True
795,goal_08,exit,exito,969,228.75,True
796,goal_08,exit,exito,966,230.14,True
797,goal_08,exit,exito,966,230.11,True
798,goal_08,exit,exito,975,232.23,True
799,goal_08,exit,exito,968,228.81,True
800,goal_08,exit,exito,972,231.08,True
801,goal_09,exit,exito,991,202.08,True
802,goal_09,exit,exito,981,203.03,True
803,goal_09,exit,exito,981,203.15,True
804,goal_09,exit,exito,966,203.38,True
805,goal_09,exit,exito,982,203.16,True
806,goal_09,exit,exito,974,203.04,True
807,goal_09,exit,exito,971,202.43,True
808,goal_09,exit,exito,971,202.66,True
809,goal_09,exit,exito,966,203.38,True
810,goal_09,exit,exito,992,201.77,True
811,goal_09,exit,exito,969,202.78,True
812,goal_09,exit,exito,982,203.16,True
813,goal_09,exit,exito,974,203.04,True
814,goal_09,exit,exito,973,203.48,True
815,goal_09,exit,exito,957,202.81,True
