episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1793,goal_18,ciclo_completo,exito,1828,387.02,True
1794,goal_18,ciclo_completo,exito,1828,387.01,True
1795,goal_18,ciclo_completo,exito,1828,387.01,True
1796,goal_18,ciclo_completo,exito,1828,387.02,True
1797,goal_18,ciclo_completo,exito,1829,387.21,True
1798,goal_18,ciclo_completo,exito,1828,387.01,True
1799,goal_18,ciclo_completo,exito,1828,387.02,True
1800,goal_18,ciclo_completo,exito,1829,387.2,True
1801,goal_19,ciclo_completo,exito,1633,358.05,True
1802,goal_19,ciclo_completo,exito,1633,358.05,True
1803,goal_19,ciclo_completo,exito,1633,358.05,True
1804,goal_19,ciclo_completo,exito,1633,358.05,True
1805,goal_19,ciclo_completo,exito,1633,358.05,True
1806,goal_19,ciclo_completo,exito,1633,358.05,True
1807,goal_19,ciclo_completo,exito,1633,358.05,True
1808,goal_19,ciclo_completo,exito,1633,358.04,True
1809,goal_19,ciclo_completo,exito,1633,358.04,True
1810,goal_19,ciclo_completo,exito,1633,358.05,True
1811,goal_19,ciclo_completo,exito,1633,358.05,True
1812,goal_19,ciclo_completo,exito,1633,358.05,True
1813,goal_19,ciclo_completo,exito,1633,358.05,True
1814,goal_19,ciclo_completo,exito,1633,358.05,True
1815,goal_19,ciclo_completo,exito,1633,358.05,True
1816,goal_19,ciclo_completo,exito,1633,358.05,True
1817,goal_19,ciclo_completo,exito,1633,358.05,True
1818,goal_19,ciclo_completo,exito,1633,358.04,True
1819,goal_19,ciclo_completo,exito,1633,358.05,True
1820,goal_19,ciclo_completo,exito,1633,358.06,True
1821,goal_19,ciclo_completo,exito,1633,358.05,True
1822,goal_19,ciclo_completo,exito,1633,358.05,True
1823,goal_19,ciclo_completo,exito,1633,358.05,True
1824,goal_19,ciclo_completo,exito,1633,358.05,True
1825,goal_19,ciclo_completo,exito,1633,358.05,True
1826,goal_19,ciclo_completo,exito,1633,358.04,True
1827,goal_19,ciclo_completo,exito,1633,358.04,True
1828,goal_19,ciclo_completo,exito,1633,358.05,True
1829,goal_19,ciclo_completo,exito,1633,358.06,True
1830,goal_19,ciclo_completo,exito,1633,358.05,True
1831,goal_19,ciclo_completo,exito,1633,358.05,True
1832,goal_19,ciclo_completo,exito,1633,358.05,True
1833,goal_19,ciclo_completo,exito,1633,358.05,True
1834,goal_19,ciclo_completo,exito,1633,358.04,True
1835,goal_19,ciclo_completo,exito,1633,358.05,True
1836,goal_19,ciclo_completo,exito,1633,358.05,True
1837,goal_19,ciclo_completo,exito,1633,358.05,True
1838,goal_19,ciclo_completo,exito,1633,358.05,True
1839,goal_19,ciclo_completo,exito,1633,358.05,True
