episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
359,goal_04,exito,2279,542.44,1,1
360,goal_04,exito,2279,542.35,1,1
361,goal_04,exito,2279,542.35,1,1
362,goal_04,exito,2279,542.44,1,1
363,goal_04,exito,2279,542.44,1,1
364,goal_04,exito,2279,542.35,1,1
365,goal_04,exito,2279,542.35,1,1
366,goal_04,exito,2281,541.95,1,1
367,goal_04,exito,2279,542.44,1,1
368,goal_04,exito,2279,542.44,1,1
369,goal_04,exito,2279,542.35,1,1
370,goal_04,exito,2279,542.44,1,1
371,goal_04,exito,2279,542.43,1,1
372,goal_04,exito,2279,542.44,1,1
373,goal_04,exito,2279,542.35,1,1
374,goal_04,exito,2281,541.95,1,1
375,goal_04,exito,2279,542.44,1,1
376,goal_04,exito,2279,542.44,1,1
377,goal_04,exito,2279,542.43,1,1
378,goal_04,exito,2279,542.35,1,1
379,goal_04,exito,2279,542.35,1,1
380,goal_04,exito,2279,542.44,1,1
381,goal_04,exito,2279,542.35,1,1
382,goal_04,exito,2279,542.43,1,1
383,goal_04,exito,2279,542.35,1,1
384,goal_04,exito,2279,542.35,1,1
385,goal_04,exito,2279,542.35,1,1
386,goal_04,exito,2279,542.35,1,1
387,goal_04,exito,2279,542.35,1,1
388,goal_04,exito,2279,542.35,1,1
389,goal_04,exito,2279,542.36,1,1
390,goal_04,exito,2279,542.35,1,1
391,goal_04,exito,2279,542.35,1,1
392,goal_04,exito,2279,542.35,1,1
393,goal_04,exito,2279,542.35,1,1
394,goal_04,exito,2279,542.44,1,1
395,goal_04,exito,2279,542.44,1,1
396,goal_04,exito,2279,542.44,1,1
397,goal_04,exito,2279,542.35,1,1
398,goal_04,exito,2279,542.44,1,1
399,goal_04,exito,2279,542.43,1,1
400,goal_04,exito,2279,542.34,1,1
401,goal_05,exito,1293,410.88,1,1
402,goal_05,exito,1293,410.85,1,1
403,goal_05,exito,1293,410.89,1,1
404,goal_05,exito,1293,410.89,1,1
405,goal_05,exito,1293,410.81,1,1
406,goal_05,exito,1293,410.88,1,1
407,goal_05,exito,1293,410.87,1,1
408,goal_05,exito,1293,410.88,1,1
409,goal_05,exito,1293,410.89,1,1
410,goal_05,exito,1293,410.86,1,1
411,goal_05,exito,1293,410.91,1,1
412,goal_05,exito,1293,410.87,1,1
413,goal_05,exito,1293,410.87,1,1
414,goal_05,exito,1293,410.87,1,1
415,goal_05,exito,1293,410.89,1,1
416,goal_05,exito,1293,410.86,1,1
417,goal_05,exito,1293,410.91,1,1
418,goal_05,exito,1293,410.87,1,1
419,goal_05,exito,1293,410.87,1,1
420,goal_05,exito,1293,410.87,1,1
421,goal_05,exito,1293,410.81,1,1
422,goal_05,exito,1293,410.87,1,1
423,goal_05,exito,1293,410.81,1,1
424,goal_05,exito,1293,410.89,1,1
425,goal_05,exito,1291,410.77,1,1
426,goal_05,exito,1293,410.87,1,1
427,goal_05,exito,1293,410.87,1,1
428,goal_05,exito,1293,410.89,1,1
429,goal_05,exito,1293,410.88,1,1
430,goal_05,exito,1293,410.86,1,1
431,goal_05,exito,1293,410.91,1,1
432,goal_05,exito,1293,410.88,1,1
433,goal_05,exito,1293,410.87,1,1
434,goal_05,exito,1293,410.89,1,1
435,goal_05,exito,1293,410.85,1,1
436,goal_05,exito,1293,410.86,1,1
437,goal_05,exito,1293,410.9,1,1
438,goal_05,exito,1294,410.78,1,1
439,goal_05,exito,1293,410.89,1,1
440,goal_05,exito,1293,410.86,1,1
441,goal_05,exito,1293,410.91,1,1
442,goal_05,exito,1293,410.88,1,1
443,goal_05,exito,1293,410.88,1,1
444,goal_05,exito,1293,410.87,1,1
445,goal_05,exito,1293,410.89,1,1
446,goal_05,exito,1293,410.86,1,1
447,goal_05,exito,1293,410.91,1,1
448,goal_05,exito,1293,410.87,1,1
449,goal_05,exito,1293,410.87,1,1
450,goal_05,exito,1293,410.88,1,1
451,goal_05,exito,1293,410.89,1,1
452,goal_05,exito,1293,410.86,1,1
453,goal_05,exito,1293,410.91,1,1
454,goal_05,exito,1293,410.87,1,1
455,goal_05,exito,1293,410.87,1,1
456,goal_05,exito,1293,410.87,1,1
457,goal_05,exito,1293,410.89,1,1
458,goal_05,exito,1293,410.87,1,1
459,goal_05,exito,1293,410.91,1,1
460,goal_05,exito,1293,410.81,1,1
461,goal_05,exito,1293,410.87,1,1
462,goal_05,exito,1293,410.82,1,1
463,goal_05,exito,1293,410.81,1,1
464,goal_05,exito,1293,410.89,1,1
465,goal_05,exito,1293,410.88,1,1
466,goal_05,exito,1293,410.9,1,1
467,goal_05,exito,1292,410.95,1,1
468,goal_05,exito,1293,410.82,1,1
469,goal_05,exito,1293,410.87,1,1
470,goal_05,exito,1293,410.86,1,1
471,goal_05,exito,1293,410.81,1,1
472,goal_05,exito,1293,410.88,1,1
473,goal_05,exito,1293,410.87,1,1
474,goal_05,exito,1293,410.87,1,1
475,goal_05,exito,1293,410.87,1,1
476,goal_05,exito,1293,410.89,1,1
477,goal_05,exito,1293,410.82,1,1
478,goal_05,exito,1293,410.86,1,1
479,goal_05,exito,1293,410.87,1,1
480,goal_05,exito,1293,410.8,1,1
481,goal_05,exito,1293,410.88,1,1
482,goal_05,exito,1293,410.8,1,1
483,goal_05,exito,1293,410.82,1,1
484,goal_05,exito,1293,410.86,1,1
485,goal_05,exito,1293,410.85,1,1
486,goal_05,exito,1293,410.89,1,1
487,goal_05,exito,1293,410.89,1,1
488,goal_05,exito,1292,410.58,1,1
489,goal_05,exito,1293,410.91,1,1
490,goal_05,exito,1293,410.89,1,1
491,goal_05,exito,1293,410.85,1,1
492,goal_05,exito,1293,410.87,1,1
493,goal_05,exito,1293,410.89,1,1
494,goal_05,exito,1293,410.87,1,1
495,goal_05,exito,1293,410.87,1,1
496,goal_05,exito,1293,410.89,1,1
497,goal_05,exito,1292,410.63,1,1
498,goal_05,exito,1292,410.93,1,1
499,goal_05,exito,1294,410.78,1,1
500,goal_05,exito,1293,410.87,1,1
501,goal_06,exito,1354,412.29,1,1
502,goal_06,exito,1354,412.3,1,1
503,goal_06,exito,1355,412.17,1,1
504,goal_06,exito,1354,412.29,1,1
505,goal_06,exito,1354,412.29,1,1
506,goal_06,exito,1354,412.29,1,1
507,goal_06,exito,1354,412.3,1,1
508,goal_06,exito,1354,412.29,1,1
509,goal_06,exito,1354,412.3,1,1
510,goal_06,exito,1354,412.29,1,1
511,goal_06,exito,1354,412.29,1,1
512,goal_06,exito,1354,412.29,1,1
513,goal_06,exito,1354,412.3,1,1
514,goal_06,exito,1354,412.29,1,1
515,goal_06,exito,1354,412.29,1,1
516,goal_06,exito,1354,412.3,1,1
517,goal_06,exito,1354,412.3,1,1
518,goal_06,exito,1354,412.29,1,1
519,goal_06,exito,1354,412.29,1,1
520,goal_06,exito,1354,412.29,1,1
521,goal_06,exito,1354,412.3,1,1
522,goal_06,exito,1354,412.29,1,1
523,goal_06,exito,1354,412.29,1,1
524,goal_06,exito,1354,412.3,1,1
525,goal_06,exito,1354,412.29,1,1
526,goal_06,exito,1354,412.29,1,1
527,goal_06,exito,1354,412.29,1,1
528,goal_06,exito,1354,412.3,1,1
529,goal_06,exito,1354,412.29,1,1
530,goal_06,exito,1354,412.29,1,1
531,goal_06,exito,1354,412.29,1,1
532,goal_06,exito,1354,412.3,1,1
533,goal_06,exito,1354,412.3,1,1
534,goal_06,exito,1354,412.29,1,1
535,goal_06,exito,1354,412.29,1,1
536,goal_06,exito,1354,412.3,1,1
537,goal_06,exito,1354,412.29,1,1
538,goal_06,exito,1354,412.29,1,1
539,goal_06,exito,1354,412.3,1,1
540,goal_06,exito,1354,412.29,1,1
541,goal_06,exito,1354,412.29,1,1
542,goal_06,exito,1354,412.29,1,1
543,goal_06,exito,1354,412.3,1,1
544,goal_06,exito,1354,412.29,1,1
545,goal_06,exito,1354,412.29,1,1
546,goal_06,exito,1354,412.29,1,1
547,goal_06,exito,1354,412.3,1,1
548,goal_06,exito,1354,412.29,1,1
549,goal_06,exito,1354,412.29,1,1
550,goal_06,exito,1354,412.3,1,1
551,goal_06,exito,1354,412.29,1,1
552,goal_06,exito,1354,412.29,1,1
553,goal_06,exito,1354,412.29,1,1
554,goal_06,exito,1354,412.3,1,1
555,goal_06,exito,1354,412.3,1,1
556,goal_06,exito,1354,412.28,1,1
557,goal_06,exito,1354,412.29,1,1
558,goal_06,exito,1354,412.29,1,1
559,goal_06,exito,1354,412.3,1,1
560,goal_06,exito,1354,412.29,1,1
561,goal_06,exito,1354,412.3,1,1
562,goal_06,exito,1354,412.29,1,1
563,goal_06,exito,1354,412.29,1,1
