episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
249,goal_025,9,exito,5561,1037.55,02,subwp,524,1
250,goal_025,10,exito,5562,1037.45,02,subwp,524,1
251,goal_026,1,exito,5542,1041.14,02,subwp,524,1
252,goal_026,2,exito,5542,1041.13,02,subwp,524,1
253,goal_026,3,exito,5542,1041.13,02,subwp,524,1
254,goal_026,4,exito,5542,1041.13,02,subwp,524,1
255,goal_026,5,exito,5542,1041.13,02,subwp,524,1
256,goal_026,6,exito,5542,1041.14,02,subwp,524,1
257,goal_026,7,exito,5542,1041.13,02,subwp,524,1
258,goal_026,8,exito,5542,1041.14,02,subwp,524,1
259,goal_026,9,exito,5542,1041.13,02,subwp,524,1
260,goal_026,10,exito,5542,1041.1,02,subwp,524,1
261,goal_027,1,exito,5553,1038.45,02,subwp,524,1
262,goal_027,2,exito,5553,1038.57,02,subwp,524,1
263,goal_027,3,exito,5553,1038.55,02,subwp,524,1
264,goal_027,4,exito,5553,1038.52,02,subwp,524,1
265,goal_027,5,exito,5553,1038.49,02,subwp,524,1
266,goal_027,6,exito,5553,1038.57,02,subwp,524,1
267,goal_027,7,exito,5553,1038.48,02,subwp,524,1
268,goal_027,8,exito,5553,1038.51,02,subwp,524,1
269,goal_027,9,exito,5553,1038.56,02,subwp,524,1
270,goal_027,10,exito,5553,1038.56,02,subwp,524,1
271,goal_028,1,exito,5536,1041.89,02,subwp,524,1
272,goal_028,2,exito,5536,1041.93,02,subwp,524,1
273,goal_028,3,exito,5536,1041.94,02,subwp,524,1
274,goal_028,4,exito,5536,1041.86,02,subwp,524,1
275,goal_028,5,exito,5536,1041.93,02,subwp,524,1
276,goal_028,6,exito,5536,1041.94,02,subwp,524,1
277,goal_028,7,exito,5536,1041.89,02,subwp,524,1
278,goal_028,8,exito,5536,1041.93,02,subwp,524,1
279,goal_028,9,exito,5536,1041.88,02,subwp,524,1
280,goal_028,10,exito,5536,1041.88,02,subwp,524,1
281,goal_029,1,exito,5549,1043.19,02,subwp,524,1
282,goal_029,2,exito,5549,1043.17,02,subwp,524,1
283,goal_029,3,exito,5549,1043.19,02,subwp,524,1
284,goal_029,4,exito,5560,1039.61,02,subwp,524,1
285,goal_029,5,exito,5561,1039.76,02,subwp,524,1
286,goal_029,6,exito,5549,1043.21,02,subwp,524,1
287,goal_029,7,exito,5549,1043.17,02,subwp,524,1
288,goal_029,8,exito,5549,1043.21,02,subwp,524,1
289,goal_029,9,exito,5549,1043.17,02,subwp,524,1
290,goal_029,10,exito,5561,1039.77,02,subwp,524,1
291,goal_030,1,exito,5535,1041.05,02,subwp,524,1
292,goal_030,2,exito,5535,1041.11,02,subwp,524,1
293,goal_030,3,exito,5535,1041.12,02,subwp,524,1
294,goal_030,4,exito,5535,1041.11,02,subwp,524,1
295,goal_030,5,exito,5535,1041.1,02,subwp,524,1
296,goal_030,6,exito,5535,1041.09,02,subwp,524,1
297,goal_030,7,exito,5535,1041.1,02,subwp,524,1
298,goal_030,8,exito,5535,1041.12,02,subwp,524,1
299,goal_030,9,exito,5535,1041.12,02,subwp,524,1
300,goal_030,10,exito,5535,1041.08,02,subwp,524,1
301,goal_031,1,exito,5553,1039.28,02,subwp,524,1
302,goal_031,2,exito,5553,1039.27,02,subwp,524,1
303,goal_031,3,exito,5553,1039.32,02,subwp,524,1
304,goal_031,4,exito,5553,1039.32,02,subwp,524,1
305,goal_031,5,exito,5553,1039.28,02,subwp,524,1
306,goal_031,6,exito,5553,1039.27,02,subwp,524,1
307,goal_031,7,exito,5553,1039.32,02,subwp,524,1
308,goal_031,8,exito,5553,1039.29,02,subwp,524,1
309,goal_031,9,exito,5553,1039.28,02,subwp,524,1
310,goal_031,10,exito,5553,1039.28,02,subwp,524,1
311,goal_032,1,exito,5530,1041.23,02,subwp,524,1
312,goal_032,2,exito,5529,1041.1,02,subwp,524,1
313,goal_032,3,exito,5529,1041.08,02,subwp,524,1
314,goal_032,4,exito,5530,1041.22,02,subwp,524,1
315,goal_032,5,exito,5529,1041.08,02,subwp,524,1
316,goal_032,6,exito,5529,1041.1,02,subwp,524,1
317,goal_032,7,exito,5529,1041.1,02,subwp,524,1
318,goal_032,8,exito,5529,1041.1,02,subwp,524,1
319,goal_032,9,exito,5529,1041.1,02,subwp,524,1
320,goal_032,10,exito,5529,1041.1,02,subwp,524,1
321,goal_033,1,exito,5548,1042.92,02,subwp,524,1
322,goal_033,2,exito,5548,1042.9,02,subwp,524,1
323,goal_033,3,exito,5548,1042.92,02,subwp,524,1
324,goal_033,4,exito,5549,1042.9,02,subwp,524,1
