episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
200,goal_020,10,exito,15069,2447.23,05,sthwp,524,1
201,goal_021,1,exito,15242,2480.7,05,sthwp,524,1
202,goal_021,2,exito,15241,2480.1,05,sthwp,524,1
203,goal_021,3,exito,15241,2480.1,05,sthwp,524,1
204,goal_021,4,exito,15241,2480.11,05,sthwp,524,1
205,goal_021,5,exito,15241,2480.1,05,sthwp,524,1
206,goal_021,6,exito,15241,2480.1,05,sthwp,524,1
207,goal_021,7,exito,15241,2480.1,05,sthwp,524,1
208,goal_021,8,exito,15241,2480.09,05,sthwp,524,1
209,goal_021,9,exito,15241,2480.09,05,sthwp,524,1
210,goal_021,10,exito,15241,2480.06,05,sthwp,524,1
211,goal_022,1,exito,15361,2497.73,05,sthwp,524,1
212,goal_022,2,exito,15362,2497.99,05,sthwp,524,1
213,goal_022,3,exito,15362,2498.28,05,sthwp,524,1
214,goal_022,4,exito,15362,2497.98,05,sthwp,524,1
215,goal_022,5,exito,15362,2494.74,05,sthwp,524,1
216,goal_022,6,col_return,10466,1506.92,05,sthwp,524,1
217,goal_022,7,exito,15362,2498.3,05,sthwp,524,1
218,goal_022,8,exito,15361,2497.79,05,sthwp,524,1
219,goal_022,9,exito,15361,2497.77,05,sthwp,524,1
220,goal_022,10,exito,15361,2497.8,05,sthwp,524,1
221,goal_023,1,exito,15504,2518.79,05,sthwp,524,1
222,goal_023,2,exito,15504,2518.79,05,sthwp,524,1
223,goal_023,3,exito,15504,2518.81,05,sthwp,524,1
224,goal_023,4,exito,15504,2518.82,05,sthwp,524,1
225,goal_023,5,exito,15504,2518.85,05,sthwp,524,1
226,goal_023,6,exito,15504,2516.67,05,sthwp,524,1
227,goal_023,7,col_return,10541,1528.82,05,sthwp,524,1
228,goal_023,8,exito,15505,2519.3,05,sthwp,524,1
229,goal_023,9,exito,15504,2518.82,05,sthwp,524,1
230,goal_023,10,exito,15504,2518.85,05,sthwp,524,1
231,goal_024,1,exito,15638,2537.77,05,sthwp,524,1
232,goal_024,2,exito,15640,2538.27,05,sthwp,524,1
233,goal_024,3,exito,15640,2538.26,05,sthwp,524,1
234,goal_024,4,exito,15640,2538.27,05,sthwp,524,1
235,goal_024,5,exito,15640,2521.28,05,sthwp,524,1
236,goal_024,6,col_return,10475,1520.51,05,sthwp,524,1
237,goal_024,7,exito,15640,2538.28,05,sthwp,524,1
238,goal_024,8,exito,15640,2538.26,05,sthwp,524,1
239,goal_024,9,exito,15640,2538.27,05,sthwp,524,1
240,goal_024,10,exito,15640,2538.27,05,sthwp,524,1
241,goal_025,1,exito,15787,2557.01,05,sthwp,524,1
242,goal_025,2,exito,15785,2555.95,05,sthwp,524,1
243,goal_025,3,col_return,10755,1550.35,05,sthwp,524,1
244,goal_025,4,exito,15787,2557.03,05,sthwp,524,1
245,goal_025,5,exito,15785,2556.49,05,sthwp,524,1
246,goal_025,6,exito,15785,2556.49,05,sthwp,524,1
247,goal_025,7,exito,15785,2556.47,05,sthwp,524,1
248,goal_025,8,exito,15785,2556.47,05,sthwp,524,1
249,goal_025,9,exito,15785,2528.07,05,sthwp,524,1
250,goal_025,10,col_return,10497,1523.85,05,sthwp,524,1
251,goal_026,1,exito,15951,2579.19,05,sthwp,524,1
252,goal_026,2,exito,15951,2579.13,05,sthwp,524,1
253,goal_026,3,exito,15949,2578.6,05,sthwp,524,1
254,goal_026,4,exito,15951,2579.16,05,sthwp,524,1
255,goal_026,5,col_return,10944,1580.76,05,sthwp,524,1
256,goal_026,6,exito,15951,2579.19,05,sthwp,524,1
257,goal_026,7,exito,15951,2579.16,05,sthwp,524,1
258,goal_026,8,exito,15951,2579.16,05,sthwp,524,1
259,goal_026,9,exito,15951,2579.17,05,sthwp,524,1
260,goal_026,10,exito,15951,2549.45,05,sthwp,524,1
261,goal_027,1,col_return,10663,1539.45,05,sthwp,524,1
262,goal_027,2,exito,16101,2600.98,05,sthwp,524,1
263,goal_027,3,exito,16101,2600.94,05,sthwp,524,1
264,goal_027,4,exito,16101,2600.95,05,sthwp,524,1
265,goal_027,5,col_return,11201,1604.75,05,sthwp,524,1
266,goal_027,6,exito,16100,2600.79,05,sthwp,524,1
267,goal_027,7,exito,16100,2600.47,05,sthwp,524,1
268,goal_027,8,exito,16101,2600.95,05,sthwp,524,1
269,goal_027,9,exito,16101,2599.8,05,sthwp,524,1
270,goal_027,10,col_return,10869,1572.55,05,sthwp,524,1
271,goal_028,1,exito,16280,2627.73,05,sthwp,524,1
272,goal_028,2,exito,16280,2627.69,05,sthwp,524,1
273,goal_028,3,exito,16280,2627.69,05,sthwp,524,1
274,goal_028,4,col_return,11104,1606.65,05,sthwp,524,1
275,goal_028,5,exito,16280,2627.73,05,sthwp,524,1
276,goal_028,6,exito,16280,2627.69,05,sthwp,524,1
277,goal_028,7,exito,16280,2627.67,05,sthwp,524,1
278,goal_028,8,col_return,11120,1612.96,05,sthwp,524,1
279,goal_028,9,exito,16280,2627.7,05,sthwp,524,1
280,goal_028,10,exito,16278,2627.08,05,sthwp,524,1
281,goal_029,1,exito,16443,2652.71,05,sthwp,524,1
282,goal_029,2,col_return,11149,1612.84,05,sthwp,524,1
283,goal_029,3,exito,16443,2652.78,05,sthwp,524,1
284,goal_029,4,exito,16444,2652.85,05,sthwp,524,1
285,goal_029,5,exito,16444,2641.14,05,sthwp,524,1
286,goal_029,6,col_return,10912,1576.55,05,sthwp,524,1
287,goal_029,7,exito,16443,2652.78,05,sthwp,524,1
288,goal_029,8,exito,16444,2652.84,05,sthwp,524,1
289,goal_029,9,col_return,11507,1666.87,05,sthwp,524,1
290,goal_029,10,exito,16443,2652.79,05,sthwp,524,1
291,goal_030,1,exito,16642,2675.52,05,sthwp,524,1
292,goal_030,2,exito,16640,2659.84,05,sthwp,524,1
293,goal_030,3,col_return,10982,1585.02,05,sthwp,524,1
294,goal_030,4,exito,16642,2675.84,05,sthwp,524,1
295,goal_030,5,exito,16640,2675.57,05,sthwp,524,1
296,goal_030,6,col_return,11352,1638.49,05,sthwp,524,1
297,goal_030,7,exito,16642,2675.85,05,sthwp,524,1
298,goal_030,8,exito,16641,2675.77,05,sthwp,524,1
299,goal_030,9,col_return,11546,1659.09,05,sthwp,524,1
300,goal_030,10,exito,16640,2675.59,05,sthwp,524,1
301,goal_031,1,exito,16855,2705.21,05,sthwp,524,1
302,goal_031,2,col_return,11620,1675.31,05,sthwp,524,1
303,goal_031,3,exito,16855,2705.14,05,sthwp,524,1
304,goal_031,4,exito,16854,2704.64,05,sthwp,524,1
305,goal_031,5,col_return,11462,1646.04,05,sthwp,524,1
306,goal_031,6,exito,16855,2705.12,05,sthwp,524,1
307,goal_031,7,exito,16854,2704.61,05,sthwp,524,1
308,goal_031,8,col_return,11357,1640.18,05,sthwp,524,1
309,goal_031,9,exito,16855,2705.12,05,sthwp,524,1
310,goal_031,10,exito,16854,2704.64,05,sthwp,524,1
311,goal_032,1,col_return,11433,1649.55,05,sthwp,524,1
312,goal_032,2,exito,17069,2736.08,05,sthwp,524,1
313,goal_032,3,exito,17068,2708.59,05,sthwp,524,1
314,goal_032,4,exito,17070,2736.36,05,sthwp,524,1
315,goal_032,5,exito,17070,2736.25,05,sthwp,524,1
316,goal_032,6,exito,17069,2735.96,05,sthwp,524,1
317,goal_032,7,col_return,11798,1701.05,05,sthwp,524,1
318,goal_032,8,exito,17069,2736.08,05,sthwp,524,1
319,goal_032,9,exito,17068,2733.7,05,sthwp,524,1
320,goal_032,10,col_return,11324,1632.83,05,sthwp,524,1
321,goal_033,1,exito,17318,2772.69,05,sthwp,524,1
322,goal_033,2,col_return,12129,1750.24,05,sthwp,524,1
323,goal_033,3,exito,17318,2772.69,05,sthwp,524,1
324,goal_033,4,exito,17316,2736.42,05,sthwp,524,1
325,goal_033,5,exito,17316,2772.09,05,sthwp,524,1
326,goal_033,6,exito,17316,2772.05,05,sthwp,524,1
327,goal_033,7,exito,17316,2771.74,05,sthwp,524,1
328,goal_033,8,col_return,11513,1662.22,05,sthwp,524,1
329,goal_033,9,exito,17318,2772.68,05,sthwp,524,1
330,goal_033,10,col_return,12101,1746.91,05,sthwp,524,1
331,goal_034,1,exito,17537,2805.05,05,sthwp,524,1
332,goal_034,2,col_return,12387,1791.44,05,sthwp,524,1
333,goal_034,3,exito,17537,2805.05,05,sthwp,524,1
334,goal_034,4,col_return,12442,1789.67,05,sthwp,524,1
335,goal_034,5,exito,17537,2805.05,05,sthwp,524,1
336,goal_034,6,col_return,12432,1798.64,05,sthwp,524,1
337,goal_034,7,exito,17537,2805.05,05,sthwp,524,1
338,goal_034,8,col_return,12455,1799.0,05,sthwp,524,1
339,goal_034,9,exito,17537,2805.06,05,sthwp,524,1
340,goal_034,10,col_return,12469,1793.44,05,sthwp,524,1
341,goal_035,1,exito,17787,2842.04,05,sthwp,524,1
342,goal_035,2,col_return,12465,1793.12,05,sthwp,524,1
343,goal_035,3,exito,17787,2842.03,05,sthwp,524,1
344,goal_035,4,col_return,12339,1771.48,05,sthwp,524,1
345,goal_035,5,exito,17787,2842.13,05,sthwp,524,1
346,goal_035,6,col_return,12265,1769.16,05,sthwp,524,1
347,goal_035,7,exito,17787,2842.03,05,sthwp,524,1
348,goal_035,8,col_return,12231,1767.25,05,sthwp,524,1
